Date,TotalCost,IsAnomaly
2025-07-27,116.91,False
2025-07-28,230.16,False
2025-07-29,231.33,False
2025-07-30,234.29,False
2025-07-31,241.35999999999999,False
2025-08-01,237.76999999999998,False
2025-08-02,120.32,False
2025-08-03,118.61,False
2025-08-04,229.88,False
2025-08-05,241.29,False
2025-08-06,238.26,False
2025-08-07,243.92000000000002,False
2025-08-08,240.23,False
2025-08-09,118.48,False
2025-08-10,119.75,False
2025-08-11,231.82,False
2025-08-12,225.51,False
2025-08-13,247.94,False
2025-08-14,243.03,False
2025-08-15,245.64,False
2025-08-16,112.99,False
2025-08-17,121.63,False
2025-08-18,231.6,False
2025-08-19,239.92,False
2025-08-20,240.38,False
2025-08-21,253.57,False
2025-08-22,228.16,False
2025-08-23,119.87,False
2025-08-24,122.9,False
2025-08-25,246.56,False
2025-08-26,230.81,False
2025-08-27,240.32999999999998,False
2025-08-28,247.25,False
2025-08-29,243.61,False
2025-08-30,116.28,False
2025-08-31,115.82,False
2025-09-01,229.37,False
2025-09-02,242.5,False
2025-09-03,245.17,False
2025-09-04,232.14000000000001,False
2025-09-05,243.56,False
2025-09-06,124.57,False
2025-09-07,118.89,False
2025-09-08,231.45,False
2025-09-09,246.11,False
2025-09-10,242.60999999999999,False
2025-09-11,243.33,False
2025-09-12,238.69,False
2025-09-13,116.00999999999999,False
2025-09-14,127.72,False
2025-09-15,248.76,False
2025-09-16,233.60999999999999,False
2025-09-17,250.6,False
2025-09-18,239.95,False
2025-09-19,239.49,False
2025-09-20,112.89999999999999,False
2025-09-21,132.85,False
2025-09-22,237.79999999999998,False
2025-09-23,231.58,False
2025-09-24,243.39,False
2025-09-25,242.31,False
2025-09-26,244.02,False
2025-09-27,120.07,False
2025-09-28,121.37,False
2025-09-29,247.98,False
2025-09-30,251.22,False
2025-10-01,247.37,False
2025-10-02,244.07,False
2025-10-03,261.17,False
2025-10-04,125.4,False
2025-10-05,127.38,False
2025-10-06,240.02,False
2025-10-07,242.69,False
2025-10-08,240.75,False
2025-10-09,240.52,False
2025-10-10,252.17000000000002,False
2025-10-11,120.43,False
2025-10-12,129.87,False
2025-10-13,249.03,False
2025-10-14,249.82,False
2025-10-15,258.34,False
2025-10-16,267.3,False
2025-10-17,255.84,False
2025-10-18,127.47,False
2025-10-19,127.58,False
2025-10-20,250.35,False
2025-10-21,245.96,False
2025-10-22,240.93,False
2025-10-23,253.8,False
2025-10-24,246.26,False
2025-10-25,132.45,False
