Date,AccountId,AccountName,Service,Region,Cost,Currency,Month
2025-07-27,123456789012,Production,Amazon EC2,ap-southeast-1,11.51,USD,2025-07
2025-07-27,123456789013,Development,Amazon EC2,ap-southeast-1,11.04,USD,2025-07
2025-07-27,123456789014,Testing,Amazon EC2,us-west-2,7.44,USD,2025-07
2025-07-27,123456789012,Production,Amazon S3,eu-west-1,2.6,USD,2025-07
2025-07-27,123456789013,Development,Amazon S3,us-east-1,3.0,USD,2025-07
2025-07-27,123456789014,Testing,Amazon S3,us-west-2,3.55,USD,2025-07
2025-07-27,123456789012,Production,Amazon RDS,us-west-2,7.48,USD,2025-07
2025-07-27,123456789013,Development,Amazon RDS,us-east-1,7.19,USD,2025-07
2025-07-27,123456789014,Testing,Amazon RDS,eu-west-1,6.0,USD,2025-07
2025-07-27,123456789012,Production,AWS Lambda,us-east-1,1.28,USD,2025-07
2025-07-27,123456789013,Development,AWS Lambda,us-east-1,1.14,USD,2025-07
2025-07-27,123456789014,Testing,AWS Lambda,ap-southeast-1,1.03,USD,2025-07
2025-07-27,123456789012,Production,Amazon CloudFront,eu-west-1,5.21,USD,2025-07
2025-07-27,123456789013,Development,Amazon CloudFront,us-east-1,5.21,USD,2025-07
2025-07-27,123456789014,Testing,Amazon CloudFront,ap-southeast-1,3.98,USD,2025-07
2025-07-27,123456789012,Production,Amazon DynamoDB,us-west-2,1.65,USD,2025-07
2025-07-27,123456789013,Development,Amazon DynamoDB,ap-southeast-1,1.62,USD,2025-07
2025-07-27,123456789014,Testing,Amazon DynamoDB,ap-southeast-1,1.93,USD,2025-07
2025-07-27,123456789012,Production,Amazon ECS,ap-southeast-1,9.08,USD,2025-07
2025-07-27,123456789013,Development,Amazon ECS,ap-southeast-1,8.7,USD,2025-07
2025-07-27,123456789014,Testing,Amazon ECS,eu-west-1,6.16,USD,2025-07
2025-07-27,123456789012,Production,Amazon VPC,us-east-1,0.51,USD,2025-07
2025-07-27,123456789013,Development,Amazon VPC,us-east-1,0.58,USD,2025-07
2025-07-27,123456789014,Testing,Amazon VPC,ap-southeast-1,0.72,USD,2025-07
2025-07-27,123456789012,Production,AWS Data Transfer,us-east-1,3.13,USD,2025-07
2025-07-27,123456789013,Development,AWS Data Transfer,us-east-1,3.17,USD,2025-07
2025-07-27,123456789014,Testing,AWS Data Transfer,us-east-1,2.0,USD,2025-07
2025-07-28,123456789012,Production,Amazon EC2,us-east-1,18.98,USD,2025-07
2025-07-28,123456789013,Development,Amazon EC2,eu-west-1,23.38,USD,2025-07
2025-07-28,123456789014,Testing,Amazon EC2,eu-west-1,15.61,USD,2025-07
2025-07-28,123456789012,Production,Amazon S3,us-west-2,7.88,USD,2025-07
2025-07-28,123456789013,Development,Amazon S3,eu-west-1,7.61,USD,2025-07
